Pos,No,Runner,Club,Category,Time
59,111,Will Moffat,Lothian Running Club,M50,00:26:50
60,110,Courtney Moffat,Lothian Running Club,FS,00:26:55
61,109,Michael Mitchell,Dundee Road Runners,M50,00:27:00
62,108,Stuart Meiklejohn,PH Racing,M40,00:27:05
63,107,Laura McMahon,Dundee Road Runners,FS,00:27:10
64,106,Kenneth McLeod,Fife AC,M40,00:27:15
65,105,Eliza Mclachlan,Fife AC,F60,00:27:20
66,104,Josh McKay,Dundee Road Runners,MS,00:27:25
67,103,John Mcintyre Snr,Fife AC,M50,00:27:30
68,102,John Mcintosh,Unatt.,M50,00:27:35
69,101,Graham McInnes,PH Racing,M40,00:27:40
70,100,Kerry Mcgregor,Kirkcaldy Wizards,F50,00:27:45
71,99,Graeme McDowall,Fife AC,M50,00:27:50
72,98,Scott McClung,Fife AC,MS,00:27:55
73,97,Marion McClung,Kirkcaldy Wizards,F50,00:28:00
74,96,Kenneth McAllister,Pitreavie AAC,M60,00:28:05
75,95,Holly Mathie,Unatt.,FS,00:28:10
76,94,Sarah Matheson,Kirkcaldy Wizards,FS,00:28:15
77,93,Jennifer Massie,Dundee Road Runners,FS,00:28:20
78,92,Charlie Mason,Fife AC,MU20,00:28:25
79,91,Morag Martin,Wormit Runners,F40,00:28:30
80,90,Margaret Martin,Fife AC,F60,00:28:35
81,89,Tony Martin,Fife AC,M70,00:28:40
82,88,Linzie Marsh,Pitreavie AAC,F40,00:28:45
83,87,Stephen Mackay,Unatt.,MS,00:28:50
84,86,Alastair MacFadyen,Dundee Hawkhill Harriers,MS,00:28:55
85,85,Colin MacFadyen,Unatt.,M50,00:29:00
86,84,George MacDonald,Kirkcaldy Wizards,M60,00:29:05
87,83,Miguel Angel Luna Sanchez,Unatt.,MS,00:29:10
88,82,Scott Love,PH Racing,M40,00:29:15
89,81,Mairi Littleson,Dundee Road Runners,FS,00:29:20
90,80,Jamie Lessels,Fife AC,MU20,00:29:25
91,79,Sam Lesley,Shettleston Harriers,MS,00:29:30
92,78,Sandy Laing,Unatt.,MS,00:29:35
93,77,Constant Lacroix,Unatt.,MU20,00:29:40
94,76,Samuel Knox,Unatt.,MS,00:29:45
95,75,Ben Kinninmonth,Fife AC,MS,00:29:50
96,74,John Kinninmonth,Fife AC,M50,00:29:55
97,73,Heather Kinninmonth,Kirkcaldy Wizards,F50,00:30:00
98,72,Shania King,Dundee Hawkhill Harriers,FS,00:30:05
99,71,Christopher Kent,Fife AC,M40,00:30:10
100,70,Charlene Junkin,Dundee Road Runners,FS,00:30:15
101,69,Michelle Johnstone,Fife AC,F40,00:30:20
102,68,Kevin Hughes,PH Racing,M50,00:30:25
103,67,Hannah Hislop,Central Athletics Club,FS,00:30:30
104,66,Kenneth Hislop,Central Athletics Club,MS,00:30:35
105,65,Rosemary Hill,Scotia Racewalking Club,F70,00:30:40
106,64,Gill Hanlon,Dundee Road Runners,F60,00:30:45
107,63,James Hall,Fife AC,M40,00:30:50
108,62,Ryan Gray,Fife AC,MS,00:30:55
109,61,Scott Graves,Unatt.,M40,00:31:00
110,60,Clare Graham,PH Racing,F50,00:31:05
111,59,Stuart Goodfellow,Kirkcaldy Wizards,M50,00:31:10
112,58,Marie Godson,Kirkcaldy Wizards,F50,00:31:15
113,57,John Henry Godson,Fife AC,M50,00:31:20
114,56,Phillip Gillespie,Dundee Road Runners,M50,00:31:25
115,55,Victoria Gilbert,Unatt.,FS,00:31:30
116,54,Alan Gibson,Fife AC,M60,00:31:35
117,53,Laura Gibson,Fife AC,FS,00:31:40
118,52,Niamh Gibbons,Kirkcaldy Wizards,FS,00:31:45
119,51,Keith Gelly,Dundee Road Runners,M50,00:31:50
120,50,Alison Gelly,Dundee Road Runners,F50,00:31:55
121,49,Thomas Gambino,Fife AC,MS,00:32:00
122,48,Ben Fraser,Pitreavie AAC,MS,00:32:05
123,47,Paul Forbes,Edinburgh Athletics Club,M60,00:32:10
124,46,Luke Fleming,Fife AC,MU20,00:32:15
125,45,Heather Finlayson,Kirkcaldy Wizards,F50,00:32:20
126,44,Daniel Fields,Dundee Road Runners,M40,00:32:25
127,43,Greg Ewen,Unatt.,MS,00:32:30
128,42,Tony Ewen,Pitreavie AAC,MS,00:32:35
129,41,Jayne Emery,Central Athletics Club,FS,00:32:40
130,40,Ally Dunn,Unatt.,M60,00:32:45
131,39,Sean Duffy,Unatt.,M40,00:32:50
132,38,Jack Dryburgh,Kirkcaldy Wizards,MS,00:32:55
133,37,Graeme Doig,PH Racing,M40,00:33:00
134,36,Janet Dickson,Fife AC,F40,00:33:05
135,35,Fred Davies,Shettleston Harriers,MS,00:33:10
136,34,Laura Darling-Brackenridge,Dundee Road Runners,FS,00:33:15
137,33,John Crookston,PH Racing,M60,00:33:20
138,32,Jonathan Creese,Dundee Road Runners,M40,00:33:25
139,31,John Cassells,PH Racing,M50,00:33:30
140,30,Colin Campbell,RunSum Running Kirkcaldy,M40,00:33:35
141,29,Ross Campbell,Kirkcaldy Wizards,MS,00:33:40
142,28,Fiona Callaghan,Dundee Road Runners,FS,00:33:45
143,27,Callum Butterworth,Shettleston Harriers,MS,00:33:50
144,26,Martin Butcher,PH Racing,M40,00:33:55
145,25,Ester Burgerova,Unatt.,FU20,00:34:00
146,24,Andrew Bryson,Shettleston Harriers,MS,00:34:05
147,23,Lara Brown,Kirkcaldy Wizards,F40,00:34:10
148,22,Finlay Brill,Unatt.,MU20,00:34:15
149,21,Nick Brian,Fife AC,M60,00:34:20
150,20,Fiona Brian,Metro Aberdeen Running Club,FS,00:34:25
151,19,Tom Brian,Metro Aberdeen Running Club,MS,00:34:30
152,18,Innes Bracegirdle,Fife AC,F60,00:34:35
153,17,Alan Bothwell,Perth Road Runners,M60,00:34:40
154,16,Wright Beveridge,PH Racing,M50,00:34:45
155,15,Nick Bennett,Dundee Road Runners,MS,00:34:50
156,14,Ross Bennet,PH Racing,M50,00:34:55
157,13,Aaron Bennet,PH Racing,MU20,00:35:00
158,12,Olivia Batho-Samblás,Dundee Road Runners,FS,00:35:05
159,11,Gordon Barrie,Dundee Hawkhill Harriers,M50,00:35:10
160,10,James Barnet,Dundee Road Runners,MS,00:35:15
161,9,Michael Barker,Metro Aberdeen Running Club,M50,00:35:20
162,8,Glenn Barclay,Fife AC,MS,00:35:25
163,7,Jenny Bannerman,Inverness Harriers,FS,00:35:30
164,6,Heather Ballantyne,Dundee Road Runners,F50,00:35:35
165,5,David Baird,Dundee Road Runners,MS,00:35:40
166,4,India Arikan,Dundee Hawkhill Harriers,FS,00:35:45
167,3,Hanna Andrejczuk,University of St. Andrews Cross Country,FS,00:35:50
168,2,Sandra Aitken,Fife AC,F60,00:35:55
169,1,Bryce Aitken,Fife AC,M60,00:36:00
