Pos,No,Runner,Club,Category,Time
62,106,Graeme Barker,Fife AC,MS,00:36:54
63,153,David Miller,Dundee Road Runners,M50,00:36:56
64,163,Paul Reed,Dundee Road Runners,M50,00:37:03
65,196,John Wilmot,Falkland Trail Runners,M70,00:37:10
66,143,Steven Maloney,Dundee Road Runners,M40,00:37:20
67,121,Simon Fox,Fife AC,M60,00:37:24
68,95,Lee Cessford,Falkland Trail Runners,M40,00:37:26
69,144,Rhonda Manning,Dundee Hawkhill Harriers,F50,00:37:41
70,119,Daniel Fields,Dundee Road Runners,M40,00:37:47
71,151,Bethan McRobbie,Unatt.,FS,00:37:54
72,116,Pamela Cruickshanks,Anster Haddies,F50,00:38:40
73,128,Jeff Gunnell,Unatt.,M60,00:39:07
74,126,Phillip Gillespie,Dundee Road Runners,M50,00:39:13
75,125,Alison Gelly,Dundee Road Runners,F50,00:39:16
76,182,Grant Whytock,Dundee Road Runners,M50,00:39:19
77,105,Gary Barker,Fife AC,M60,00:39:24
78,158,David Pease,Falkland Trail Runners,M60,00:39:30
79,155,Stuart Murray,Unatt.,MS,00:39:33
80,194,Debz Hay,Anster Haddies,F50,00:40:27
81,100,Bill Gillan,Recreational Runners,M70,00:40:35
82,93,Alice Hall,Anster Haddies,F60,00:41:28
83,192,Sean Kenyon,Unatt.,M50,00:41:31
84,195,Ann Malcolm,Kinross Road Runners,F60,00:43:31
85,113,Lisa Chan,STAART,FS,00:43:55
86,148,Josh McKay,Dundee Road Runners,MS,00:44:18
87,91,Catriona Duncan,Anster Haddies,F70,00:44:52
88,187,Jocelyn Scott,Fife AC,F70,00:45:17
89,138,Hannah Lopez,Kinross Road Runners,FS,00:45:58
90,167,Laura Robertson,Falkland Trail Runners,F50,00:46:16
91,109,Karen Birnie,Kinross Road Runners,F60,00:49:05
92,185,Simone Young,Kinross Road Runners,F50,00:49:11
93,197,Ann Davidson,Falkland Trail Runners,F60,00:49:47
94,114,Jacqueline Cook,Falkland Trail Runners,F40,00:50:04
95,139,Iain Luke,Dundee Road Runners,M70,00:50:05
96,136,Nessie Kirkbride,Falkland Trail Runners,F60,00:50:11
97,92,John Lee,Falkland Trail Runners,M60,00:50:20
98,156,Eric Nachman,Falkland Trail Runners,M70,00:50:43
99,190,Sandra Gardener,Falkland Trail Runners,F50,00:50:51
100,149,Kenneth McLeod,Fife AC,M40,00:52:17
101,124,Jane Gatherer,Falkland Trail Runners,F50,00:53:51
